transaction_date,transactions,return_rate
2024-01,5227,0.3041897838148077
2024-02,4793,0.29730857500521596
2024-03,4986,0.2944243882872042
2024-04,4973,0.2972049064950734
2024-05,5038,0.30051607780865425
2024-06,5035,0.293545183714002
2024-07,5150,0.28524271844660193
2024-08,5079,0.28745816105532584
2024-09,4917,0.2912344925767745
2024-10,5011,0.2909598882458591
2024-11,5016,0.29066985645933013
2024-12,5122,0.2996876220226474
2025-01,5159,0.2969567745687149
2025-02,4534,0.30414644905161003
2025-03,5043,0.2906999801705334
2025-04,4880,0.29528688524590163
2025-05,5042,0.28758429194763985
2025-06,4969,0.29603541960152946
2025-07,5156,0.3013964313421257
2025-08,5142,0.2806301050175029
2025-09,4945,0.2982810920121335
2025-10,5093,0.29923424307873553
2025-11,4801,0.29639658404499064
2025-12,4889,0.29167518920024543
